player_id,web_name,first_name,second_name,team,team_short_name,position,price_millions,selected_by_percent,transfers_in,transfers_out,status,chance_of_playing_next_round,news,captured_at
502,Robertson,Andrew,Robertson,Spurs,TOT,DEF,4.5,1.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
254,Robinson,Antonee,Robinson,Fulham,FUL,DEF,4.5,3.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
329,Rodon,Joe,Rodon,Leeds,LEE,DEF,4.5,2.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
402,Rodrigo,Rodrigo 'Rodri',Hernandez Cascante,Man City,MCI,MID,6.5,0.1,0,0,i,0,Back injury - Unknown return date,2026-07-28T16:37:26.460290+00:00
81,Rodríguez,Álvaro,Rodríguez,Bournemouth,BOU,FWD,6.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
529,Roefs,Robin,Roefs,Sunderland,SUN,GK,5.0,5.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
40,Rogers,Morgan,Rogers,Chelsea,CHE,MID,7.5,33.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
500,Romero,Cristian,Romero,Spurs,TOT,DEF,5.0,1.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
510,Rowswell,James,Rowswell,Spurs,TOT,DEF,4.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
183,Rudoni,Jack,Rudoni,Coventry City,COV,MID,5.0,0.3,0,0,d,75,Shoulder injury - 75% chance of playing,2026-07-28T16:37:26.460290+00:00
110,Rushworth,Carl,Rushworth,Brighton,BHA,GK,4.5,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
246,Röhl,Merlin,Röhl,Everton,EVE,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
390,Rúben,Rúben,dos Santos Gato Alves Dias,Man City,MCI,DEF,5.5,1.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
545,Sadiki,Noah,Sadiki,Sunderland,SUN,MID,5.0,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
12,Saka,Bukayo,Saka,Arsenal,ARS,MID,9.5,10.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
185,Sakamoto,Tatsuhiro,Sakamoto,Coventry City,COV,MID,5.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
6,Saliba,William,Saliba,Arsenal,ARS,DEF,6.0,0.5,0,0,i,0,Back injury - Unknown return date,2026-07-28T16:37:26.460290+00:00
488,Sangaré,Ibrahim,Sangaré,Nott'm Forest,NFO,MID,5.0,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
208,Sarr,Ismaïla,Sarr,Crystal Palace,CRY,MID,6.5,11.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
403,Savinho,Sávio,Moreira de Oliveira,Man City,MCI,MID,6.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
475,Savona,Nicolò,Savona,Nott'm Forest,NFO,DEF,4.5,0.0,0,0,i,0,Knee injury - Unknown return date,2026-07-28T16:37:26.460290+00:00
528,Scarlett,Dane,Scarlett,Spurs,TOT,FWD,4.5,1.8,0,0,a,,,2026-07-28T16:37:26.460290+00:00
94,Schade,Kevin,Schade,Brentford,BRE,MID,6.0,2.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
558,Schlager,Xaver,Schlager,Nott'm Forest,NFO,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
93,Schuster,Jannik,Schuster,Brentford,BRE,DEF,4.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
446,Schär,Fabian,Schär,Newcastle,NEW,DEF,5.0,0.1,0,0,a,100,,2026-07-28T16:37:26.460290+00:00
69,Scott,Alex,Scott,Bournemouth,BOU,MID,6.0,1.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
537,Seelt,Jenson,Seelt,Sunderland,SUN,DEF,4.5,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
467,Sels,Matz,Sels,Nott'm Forest,NFO,GK,5.0,1.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
397,Semenyo,Antoine,Semenyo,Man City,MCI,MID,8.5,20.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
498,Senesi,Marcos,Senesi Barón,Spurs,TOT,DEF,6.0,11.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
269,Sessegnon,Ryan,Sessegnon,Fulham,FUL,DEF,4.5,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
423,Shaw,Luke,Shaw,Man Utd,MUN,DEF,4.5,22.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
189,Shepherd,George,Shepherd,Coventry City,COV,MID,4.5,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
195,Simms,Ellis,Simms,Coventry City,COV,FWD,5.0,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
290,Slater,Regan,Slater,Hull City,HUL,MID,4.5,1.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
64,Smith,Adam,Smith,Bournemouth,BOU,DEF,4.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
262,Smith Rowe,Emile,Smith Rowe,Fulham,FUL,MID,5.5,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
